subject,hours,credits
"Practicum in Recreation, Sport and Tourism",43,5
Practicum,71,5
Computer Programming and the Classroom,56,6
Intro Hospitality Management,62,4
Ethical and Professional Conduct,51,4
Action Research and Educational Leadership,61,4
History of American Journalism,67,6
Breeding Animal Evaluation,68,5
Health Planning,29,4
Seminar Themes and Movements,47,4
Special Studies,50,5
Biochemical Nutrition II,73,5
Language and Culture in Turkey,38,6
Secured Transactions,54,6
Developments in Educational Psychology,65,6
Time Series Analysis,69,6
Advanced Korean II,43,4
Fundamental Organic Chem II,61,5
Urogynecology,50,5
Politics and the Media,45,6
Intro to Creative Writing,41,6
Graduate Level Double Bass,43,4
General Physical Meteorology,81,6
Spec Topics African Am Studies,41,4
Critical Issues Sport Mgt,50,5
Analysis of Nonlinear Systems,46,4
Instructional Strategies in PE,74,5
Elder Law,71,5
Integrative Architecture Design Studio,48,5
Ethical &amp; Professional Issues,55,5
Prob in Comparative History,75,5
Clinical/Community:Development,43,5
Practicum in Teaching ESL,78,6
Traffic Flow Theory,41,6
Information Books and Resources for Youth,44,6
Probability Theory,40,4
Sustainable Fashion Development and Branding,48,5
Collective Bargaining,39,6
Intro to German Literature,55,6
A Systems-Based Approach to the Operation of Livestock-Based Food Production Systems I,60,4
Environmental Writing for Publication,67,5
Careers for Humanities Majors,38,5
Proseminar in Psychology,40,6
Capstone Curriculum Project,37,5
MVS Integrative Learning Experience,56,4
Modern Masterpieces of Western Culture,50,4
School and Community Experience,26,4
Indoor Court Activities,76,6
Capstone Preparation,76,6
Comparative Immunobiology,30,5
Dynamic System Reliability,55,6
Spanish in the Community,71,6
Graduate Laboratory,30,4
Social &amp; Environmental Issues,33,5
Computing in Astronomy,44,4
Business Practicum,35,4
Principles of Sales,28,4
Literature and Ideas,38,4
Assurance and Attestation,51,4
Medicine - Data Science Project (Longitudinal),38,4
Sustainable Organizations,68,6
Digital Making Seminar,38,5
Physical Principles Lab I,52,4
Advertising Research Methods,53,4
Medicinal Plants and Herbology,52,5
Islamic Gardens &amp; Architecture,41,4
Preparing Future Faculty,45,5
Professional Field Experiences,50,6
Symphony Orchestra,60,6
Law and Economics,69,5
Program Evaluation,33,5
International Marketing,49,5
Early Modern Philosophy,71,5
Forensic Anthropology,50,4
Undergrad Honors Res or Thesis,63,5
Intelligence and the Brain,58,5
Practicum I,83,6
General Phonetics,50,5
Collaborating with Families,37,6
Nutritional Sciences Seminar,61,6
Contemporary Issues in Leisure,37,4
Photography Workshop,54,6
Literature and Science,43,4
English Diction,45,4
Tutorials in Non-Western Lang,69,5
Foundation of Higher Education,59,4
Arch Des in Landscape &amp; Cities,40,4
Best Psych Research Practices,37,4
Financial Innovation,52,4
Animal Nutrition,26,4
Introduction to Meteorology,41,4
Preparation for Calculus,36,4
Introduction to Deep Learning on Healthcare Data,54,5
Advanced Audiological Assess,31,4
Topics in Data Analytics &amp; Data Science,55,4
Drug Discovery &amp; Development,66,5
Analog Signal Processing,68,5
Physical Geology,62,5
Capstone Studio,28,4
Professionalism in Public Health,53,6
Principles of Plant Breeding,36,5
Elementary Persian II,28,4
Employee Motivation &amp; Perfmnce,43,4
Elementary Italian II,40,4
Beginning Yiddish II,64,6
Proseminar in Music,48,6
Bilingual/ESL Methods &amp; Materials,44,4
Introduction to Graduate Study,40,4
Teaching Practicum,53,4
Intermediate Course in a Less Commonly Taught Language II,58,5
Sophomore/Junior Special Topics in Physics,36,4
Introduction to Finance,35,4
Topics in Comparative Politics,40,6
Capstone Internship Experience,47,4
Digital Signal Processing Lab,61,4
"Digestion, Nutrition, &amp; Metabolism",90,6
Aerospace Control Systems,69,6
Food Marketing,41,5
Structure and Function III,82,6
Global Studies Seminar Abroad,55,4
Adult Development,62,4
Biology in Today's World,50,6
Climate Dynamics,49,5
Excavation and Support Systems,51,4
Intermediate Yiddish II,56,4
Agricultural Marketing,79,6
Introduction to Art,77,6
Finan Decision Indiv Sm Bus,33,4
Graduate Level Viola,33,4
Large Animal Medicine and Surgery III,44,6
Introduction to Tribology,40,4
Compensation Systems,36,5
Integrative Ecosystem Management,45,4
Animal Science Careers and Professional Development,43,5
Data Literacy,62,5
Applied Machine Learning,35,5
Metaphysics,52,5
Seminar Literary Theory,37,4
Second Year Bosnian-Croatian-Serbian II,63,6
Social Science Research in Library and Information Science,31,5
Health Data Analysis,47,5
School Library Management,29,4
Representation,33,4
Intro to Family Studies,42,6
World Religions,56,5
Legal Problems,59,5
Managing Projects &amp; Teams,46,6
Lighting Opera &amp; Musicals,35,4
Dancing Techniques/Dance Majors:,83,6
Multimedia Editing and Design,49,4
Topics in Information Services,50,5
Technqs Biochem &amp; Biotech,83,6
Social Problems,55,4
Optimal Aerospace Systems,34,4
Financial Statement Fraud,57,5
Trans Mol Path Veterinary Dz,84,6
Innovation in Advertising,67,5
Advanced Compiler Construction,37,5
Current Issues in Journalism,33,4
Advanced Topics in Management and Policy,60,4
Social Science Rdgs Chinese,27,4
Advanced Sensory Science,62,6
Num Control of Mfg Processes,59,5
Graph Theory,26,4
"Theories of Race, Gender, and Sexuality",39,6
Urban Informatics II,45,5
Quantitative Methods in LER,58,5
Collaboration and Teaming,38,6
Music in Childhood,60,4
Managing Human Service Orgs,44,5
Creative Project,54,6
Team and Leadership Fundamentals II,62,6
Earth Resources Sustainability,43,5
Consumer Behavior,35,4
Random Processes,28,4
Hydrocomplexity,36,5
Adv Res and Scholarly Comm,33,4
Volunteer Management,73,6
Introduction to Ophthalmology,49,6
Econometric Analysis II,30,4
On Campus Internship,42,4
Industrial Design III,60,4
Elementary Chinese I,57,4
Fashion Illustration,45,5
Statistics Programming Methods,49,4
Capstone Undergraduate Research,40,6
Senior Research I,38,6
BUS Internship,39,6
Intermediate Modern Hebrew II,73,5
Classical Allusions in Cinema,75,6
Digital Signal Processing,37,4
Biological Networks,74,6
Non-Thesis Research,74,6
Choreographic Process II,53,5
Food Marketing and Behavior,52,4
Aerospace Dynamical Systems,33,4
Intermediate Japanese II,35,5
Assessment for Learning,45,4
Current Lit Sm Anim Medicine,45,4
Star Formation,71,5
Ethics and Engineering,59,6
Advanced Horn,49,5
Introductory Fluid Mechanics,46,4
Social Work and the Law,41,6
Trumpet,32,4
Acting Studio II: Acting,75,5
Obstetrics and Gynecology Sub-Internship,40,5
Individual Study Junior,63,5
Gender Relations &amp; Intl Dev,40,5
Engineering Law,63,6
Mgmt and Organizational Beh,34,5
Structural Analysis,66,5
"Child, Youth and Family Svcs",32,4
Graduate Level Tuba,38,6
Structural Engineering,78,6
Ocular Pathology,53,5
HR Planning and Staffing,46,5
Experiential Learning,48,5
English Pronunciation for ITAs,68,6
Contemporary Media Literacy,41,6
Seminar on the History of Philosophy,31,4
Public Health Practice,31,4
Chinese Reading and Writing,38,4
Bilingual and English as a Second Language Assessment,30,4
Pathobiology III,69,6
Men's Glee Club,55,4
Doctoral ProSeminar,42,4
Harp,68,6
Lyric Theatre Voice,66,6
Individual Study for Seniors,59,6
Spatial Analysis,30,5
Veterinary Business Management,41,6
Nonlinear Programming,52,5
Advanced Viola,63,5
Special Topics in EU Studies,50,4
Graduate CHBE Internship,58,6
LTI Studio,42,5
Vegetable Gardening,62,4
Community Engagement,45,4
Elementary Modern Hebrew II,68,5
Seminar on Security,61,4
International Human Rights Law,30,4
Introduction to Optimization,30,5
Enlightenment to Existentialsm,46,6
Supp Brass Inst: Euph/Tuba,43,6
Intro to Public Relations,75,6
Regional Studies in Musicology,51,5
"Senior Project II, ACP",29,4
Mathematics in Early Childhood Education,46,6
Studies in French Linguistics,32,4
Jazz Piano,56,4
Quantitative Physiology Lab,43,6
Introductory Dynamics,49,5
Interaction II,54,5
Saxophone,72,6
Research Practicum,89,6
Seminar Genres - Forms,85,6
Quantitative Genetics and Genomics,64,6
Embedded DSP Laboratory,66,6
Anthro in a Changing World,54,5
Applied LiteraryTranslation II,79,6
Challenges of Sustainability,52,5
Government and Politics of Japan,45,6
Graduate Level Lyric Theatre Voice,56,6
MEP Mentoring,54,6
Film Culture,51,6
Voice and Movement II,33,5
Reliability Analysis,63,5
Organic Chemistry Lab,71,6
Marketing Analytics,74,6
Evolution,53,5
Global Business Perspectives,43,6
Food Production and Service,41,4
Adv Rhetoric &amp; Composition,60,5
Special Topics in New Media,67,5
Special Topics in Physics,90,6
Investments,72,5
Raw Materials for Processing,30,4
IC Device Theory &amp; Fabrication,56,6
Foundations of Research,71,6
Current Lit in Equine Med Surg,72,6
The Legal Environment of Bus,51,4
Bioinformatics &amp; Systems Biol,69,6
Intro to Applied Statistics,65,6
Robot Dynamics and Control,26,4
Renewable &amp; Alternative Energy,78,6
Structure and Synthesis,86,6
Social Impact Learning Experience,52,5
Communication and Conflict,59,5
Strategic Management in RST,32,4
Issues and Development in Education,40,6
Applied Neuroscience,70,6
Equity Issues in Special Education,42,4
Supp Brass Inst: Trombone,41,4
Intro to Academic Writing I,74,5
Teaching Activities II,45,4
Amplification Lab,67,6
Introduction to Global Markets and Society,57,4
Proseminar II,55,6
Graduate Wind Band Conducting,54,5
Structures for the Stage,68,6
Electric Viola,54,5
Mathematical Internship,52,4
String Instrument Class,75,6
"Race, Gender and the Body",37,4
Special Topics Museum Studies,55,6
Neurology Sub-Internship,71,5
Nuclear Reactor Heat Transfer,27,4
College Physics: E&amp;M &amp; Modern,37,4
"Stereotypes, Prejudice &amp; Discrimination",58,5
Criminology,79,6
Korean Reading and Writing II,34,6
Intro Labr Wrkng Class History,41,4
Highway Bridge Design,47,5
Internship,77,6
Intermediate Quechua II,59,5
"Program Planning, Implementation and Evaluation",66,5
Supp WW Inst: Saxophone,70,5
Afterlife in Early Judaism,37,4
Global Issues in Learning,43,4
Advanced Topics in Use and Users of Information,36,4
Adv Steel Design,73,6
Readings in Chinese Lit,57,6
Senior Seminar,68,5
Reproductive Medicine,57,4
Individual Topics in Sociology,62,4
"Curriculum, Assessment, and Art Education",31,5
Clinical/Community: Diversity,73,6
Creative Concepts II,62,6
Decision Making for Atg,51,4
Global History,43,4
Public History,34,4
ACES Study Abroad,64,6
Finance for Engineering Mgmt,38,6
Probability in Engineering Lab,35,6
"Accounting Measurement, Reporting, and Control",42,4
Collaborative Piano,46,4
Child Language and Education,76,6
Biomechanics of Human Movement,36,4
Jazz Voice,39,6
Strategic Human Resource Management,78,6
Constitutional Law I,33,4
Introduction to Data Mining,58,6
Introduction to Statics,64,5
Introduction to Journalism,75,5
Graduate Level Horn,61,4
Exper in the Agency Setting,79,6
HBSE II: Mental Disorders,52,5
Steel Band,72,5
Combustion Fundamentals,51,5
Viola,62,4
Mathematical Statistics,43,4
Atmospheric Sciences Seminar,55,5
Research Methods in Journalism,33,5
Undergraduate Honors Research,47,4
Introduction to Seismology,67,6
Project Design,40,4
Teen Materials,49,4
CHBE Seminar,39,6
Practice I,48,4
Type &amp; Image,32,4
E-Business Management,78,6
Sexual Communication,73,5
Advanced Structural Planning,42,5
Advanced Studies in Geology,62,5
Principles of Academic Writing,69,6
Engineering Design Analysis,67,5
Fundamentals of Accounting,62,5
Senior Thesis Project,39,5
Russian Literature After 1956,52,6
Intermediate Ballet Tech Core,34,6
MFA Design for Responsible Innovation Studio,52,5
Intro to Academic Writing II,61,6
Foundations of Early Childhood Education,46,5
Media Study Abroad,71,5
Elementary Organic Chem II,36,6
Elementary Swahili II,70,6
Physical Activity and Health,30,4
"Ethical Issues in Recreation, Sport and Tourism",64,5
Technology Strategy,36,4
Comp Tools Bio Data,50,4
Mechs of Aerospace Structures,45,5
Intro to Abstract Algebra II,30,4
Bibliographic Metadata,71,5
Disc in Plant Physiology,41,6
Microeconomic Theory II,66,5
Gynecologic Oncology,35,6
Biomedical Instrumentation,37,4
Labor Issues in Sports,84,6
Small Fruit Production,58,4
Research in Bioanthropology,36,6
Mechanics of Random Media,86,6
Fuel Cells &amp; Hydrogen Sources,45,4
Digital Photographic Output,34,4
Advanced Health Finance,54,4
Successful Health Campaigns,87,6
US Citizenship Comparatively,47,4
Leading Professional Organizations and Communities,59,5
"Religion, Race, and Resistance",51,5
Graduate Seminar in Special Topics,76,6
Tourism and Culture,27,4
Data Storytelling,30,5
Modern Experimental Physics,44,4
Labor Economics I,28,4
Introduction to Public Health,40,6
Honors Undergraduate Research,58,4
Tolstoy,35,5
Translation and Interpretation: Reflective Practice,55,5
Interdis Collab in Health Serv,52,6
Advanced Applications of GIS,53,5
Natural Resource Policy Mgmt,56,4
Undergraduate Special Course,33,4
Queer Theories &amp; Methods,55,6
Internships,59,5
Graduate Electric Viola,36,5
Community Health Internship,48,4
Advanced Persian II,70,5
Comm Technology &amp; Society,30,4
College Student Development,65,5
Number Theory,48,6
Special Topics in Spanish Arch,81,6
Research Design for Information Sciences,42,4
Agriculture in Intl Dev,38,4
Choreographic Laboratory Intermediate,90,6
University Physics: Mechanics,81,6
"Local Planning, Gov't and Law",55,4
Undergraduate Research in Math,51,4
Cancer Nanotechnology,75,6
Nanoscale Energy Transport,52,4
Advanced Topics in Collections,38,4
Jazz Composition II,49,4
Trombone,60,4
Topics in Applied Statistics,55,5
1920s to Today,41,4
Ukrainian Culture,38,6
Advanced Obstetrics,48,5
Urban Sustainability,51,5
Introduction to Actuarial Research,48,4
Advanced Microbial Metabolism,33,4
Industrial Quality Control,83,6
Environmental Engineering Lab,45,6
Econometrics of Policy Evaluation,47,5
Advertising Immersion,32,4
Fundamental Organic Chem I,36,5
Medieval German Studies,35,5
Options and Futures Markets,52,4
Theories of Measurement II,82,6
Psych of Personality,38,5
Internal Medicine Clerkship,46,4
Thesis Proposal,52,6
Thesis/Adv UG Honors in Music,58,4
Natural Resource Economics,56,6
Communicating and Presenting in Engineering,30,4
Modern Dance II,57,6
Nutrition Assessment &amp; Therapy,39,4
Intensive Beginning Portuguese,39,4
Individual Research,31,4
Elementary Japanese II,65,5
Contemporary Nutrition,38,5
Special Topics in Information Studies,52,6
Social Marketing,30,4
Advanced Signal Integrity,65,6
Elementary Polish II,47,6
New Testament in English,36,5
Environmental Control Systems II,46,5
Families in Global Perspective,52,4
Cannabis Classification and Management,38,5
The Roman Achievement,89,6
Elementary French I,48,5
Antitrust Law,45,4
Undergraduate Research,60,6
Database Design and Management,39,4
Capstone Project,40,5
Perspectives on Global Studies,75,5
Advanced Bassoon,56,4
HR Management and Strategy,58,5
Communication Networks,54,5
Foundations of Assessment,61,4
Off-Campus Internship,80,6
Vocabulary Building from Greek and Latin Roots,65,6
Moot Court,42,4
Adv Topics in Criminal Law,77,6
Medical Informatics,79,6
Business Study Abroad,44,6
Cultures of Law,59,6
Eukaryotic Cell Biology Laboratory,51,4
Numerical Fluid Dynamics,44,6
Leading Sustainable Change,76,6
Materials Chemistry Seminar,76,6
Individual Study in ECE,65,5
Special Project-Problems,47,5
Race in Medicine,68,6
Language in Culture,43,5
Thesis Research,71,5
Classical Mechanics I,54,4
Clinical Neuroscience,57,6
Applied Statistical Methods II,42,4
Special Topics in Finance,41,4
Introduction to Sociology,46,4
International Health,51,4
State and Local Government,50,4
Economic Statistics II,62,6
Accounting and Accountancy I,42,4
M.A. Research,37,5
Agricultural Machinery and Technology,88,6
Seminar in Literary Relations,61,4
Engine and Tractor Power,62,5
Intermediate Korean II,39,4
Radiative Transfer-Remote Sens,54,6
Graduate Level Voice,56,4
Accounting Institutions and Regulation,29,4
Race and Cultural Critique,52,4
"UAV Performance, Design, and Fabrication",30,5
Intermed Statistical Analysis,55,6
Health Administration Professionalism,68,5
Yoga Fundamentals,39,5
Advanced Violin,52,6
Directed Research,64,5
Sustainable Planning Seminar,61,6
Oral Spanish,42,6
Special Topics in Biophysics,74,5
Hip-Hop Collective,38,4
Statistical Modeling II,35,6
Reading Course,39,5
Special Courses,53,4
Junior Recital,49,5
"Wiring, Motors and Control Sys",33,4
Advanced Professional Development for Chemists,53,5
Process Management,89,6
Topics in Stage Management,88,6
College Physics: Mech &amp; Heat,55,5
Oral French,64,5
Asian American Literature,67,5
Entrepreneurial Information Technology Design,36,4
Calculus II,48,4
Introduction to Critical Theory,40,6
Symbolic Logic,35,5
Applications of Financial Engineering,34,5
Honors Independent Study,35,5
Optimal Space Trajectories,69,5
"Innovation, Design, Engineering and Analysis Projects (Longitudinal)",45,6
Technology in Western Society,58,4
Equine Exercise Physiology,58,4
Introduction to Applied Microeconomics,86,6
Pediatrics Sub-Internship,29,4
Quantitative Research Designs,61,6
Structural Equation Modeling,32,4
Seminar in Medieval Literature,42,6
Advanced Biostatistics,42,5
MCB Merit Program Discussion,61,6
Gene Expression &amp; Regulation,42,5
Advanced Food Microbiology,31,4
Science and Social Studies Inquiry,59,6
Business Problem Formulation and Solution,54,6
Entrepreneurship: New Venture Creation,37,6
Advanced Keyboard Skills II,59,4
Plant Gene Regulation,70,5
Introduction to the History of Art and Visual Culture,53,6
Latina/o Popular Culture,40,4
The American Revolution,84,6
Adv Social Statistics I,42,4
Introduction to Stage Rigging,44,4
Life Insurance and Pension Mathematics,31,5
Food and Agribusiness Mgt,72,6
Special Topics in Design,38,6
Cognitive Neuroscience Lab,50,5
Advanced Costume Construction,35,4
One Medicine: One Health,86,6
German Popular Culture,72,5
Student Affairs Administration,38,5
Algorithms for Data Analytics,35,4
Graduate Orchestral Conducting,42,4
Spec Topics Afro-Am Studies,87,6
Statistical Learning Theory,72,5
Introduction to Hispanic Linguistics,59,5
Literature of Modern Theatre,27,4
Problems African American Hist,55,5
"Body, Culture &amp; Society",68,5
Theory Energy &amp; Sustain Engrg,44,4
Surgical Pathophysiology,43,5
Popular Media and Culture,39,6
Critical Approaches to Leadership Practice,53,6
Reading for Writers,35,5
Oral &amp; Maxillofacial Surgery I,52,6
Postcolonial Literature in English,53,4
SW Practice with Indiv and Fam,54,4
Introduction to Mediated Communication,81,6
Introduction to Digital Audio Workstations,43,6
Oral Communication for ITAs,56,4
Spec Prob Struct Theory &amp; Des,41,4
"Digital Advertising Content, Technologies and Concepts",43,5
Interact of Radiation w/Matter,31,5
Interpretive Cytopathology,28,4
Reacting to the Past,32,4
Ancient Greek &amp; Roman Religion,57,5
Special Topics in Spanish,84,6
Web Development Using Application Framework,44,6
Sociotechnical Information Systems,55,4
Painting for Non-Majors,37,6
Introduction to HCI,49,5
Education and Human Rights,48,6
Jurisprudence,47,4
Lived Experience in Latin America,64,5
Individual Art History Topics,37,4
The Archaeology of Italy,38,4
Real Client Managed Portfolios,62,5
Nutrition Focused Physical Assessment,56,6
Intl Organizations&amp;Regionalism,31,5
Colloquium Design &amp; Theat Tech,72,5
Applied Music Pedagogy,29,4
Advanced Design in NPRE,43,6
Enrichment Mechanics,45,4
Neural Circuits and Systems,43,6
Personality Assessment,76,6
Special Topics in Chemistry,53,4
HDFS Study Abroad Experience,29,4
Perf Pract Student Works II,55,4
Viewing Dance,70,5
"The Big Bang, Black Holes, and the End of the Universe",50,5
Senior Design II,60,6
Special Topics German Studies,34,6
Arabic-English Translation,61,6
Introduction Graduate Research,45,6
Life Drawing,52,6
Atg Measurement &amp; Disclosure,52,5
Life With Animals and Biotech,61,4
Advanced Open Seminar,71,5
Weather Systems,27,4
Readings in Sociology,40,4
Current Topics in Social Work,40,4
Soc Impacts Weather &amp; Climate,61,5
Russia and Black America,31,4
The Culture of Disability,62,5
Language and Culture in India,62,5
Reproductive Physiol Seminar,38,4
Poverty Interventions and Evaluation,60,5
Applied Statistical Methods &amp; Data Analytics 2,33,4
Civil War and Reconstruction,60,5
Advanced Clinical Electives,32,5
Quantum Mechanics II,69,5
Global Strategy,57,4
Undergraduate Project,59,6
Global Marketing,73,5
Introduction to Field Methods,55,4
Electronic Properties of Matls,43,4
Technol Innovation &amp; Strategy,73,6
Nineteenth-Century British Fiction,89,6
Mexican-American History,49,4
Computer-Aided Design,54,4
Musicianship II,46,4
Advanced Plant Pathology,51,4
Quant Pol Analysis II,42,4
Grain Drying &amp; Storage Systems,58,5
Risk Management and Innovation,75,5
History and Foundations of Information Science,40,6
Family Therapy Seminar,75,5
Intro to Health Communication,63,5
Manuscript Research,54,4
Elementary Modern Greek II,64,5
Hearing Health and Society,37,6
General Field Research Seminar,71,5
Communication Internship,57,4
Literature of Fantasy,41,4
Prob in Comp Women's Hist,67,6
Computer System Organization,68,5
Process Control and Dynamics,59,6
The Lighting Laboratory,44,6
Seminar in Theatre Theory,33,5
Women's Glee Club,74,5
"Black America, 1619-Present",70,5
Structure and Function II,70,6
Introduction to Algorithms &amp; Models of Computation,75,6
Biochemistry Seminar,42,5
BSIS Practicum,61,4
Seminar for Advanced Students,41,4
Diag Hear Impair Infants Child,51,4
Individual Study for Juniors,56,5
Archaeological Field School,83,6
Structural Fundamentals,54,4
Poetry Workshop II,67,5
Introduction to Kinesiology,42,4
Differential Equations,42,4
Topics in Clin/Comm Psych,64,5
Soc Theory in Ethnomusicology,51,6
Fracture and Fatigue,69,5
Ceramics Sculpture I,71,5
Graduate Level Oboe,58,4
German Cultural History,61,4
Early British Literature and Culture,30,4
BA Capstone Project,44,4
Latina/o Social Movements,41,4
Choral Conducting Project,71,5
Special Topics in Studio Art,70,5
"Strategic Thinking in Recreation, Sport and Tourism",49,6
Junior Honors Seminar,30,4
Principles Tech Comm,36,5
History of the Earth System,35,5
Intermediate German II,58,5
Res Studies in Animal Sciences,37,6
Clinical Research Seminar,50,5
Acting Studio II: Dynamics,63,5
Business and Professional Communication,49,4
Diversity: Identities &amp; Issues,53,6
Advances in Foods &amp; Nutrition,46,6
Ballet I,41,5
Guitar Ensemble,59,4
Corporate &amp; Commercial Law,47,4
Professional Practicum,43,5
Transportation &amp; Sustainability,55,5
Black Chorus,50,4
Organic Chemistry Seminar,37,5
Materials Design,45,4
DGS Honors Seminar,69,6
Graduate Level Trumpet,60,4
Vocational Psychology Theories and Assessment,34,6
Hard Materials Seminar,61,4
Inorganic Chemistry Seminar,74,6
Ecology of Invasive Species,57,4
Major Recent Philosophers,32,5
Evaluating New Research,75,5
Introduction to Business Analytics with R,58,4
Mass Transfer Operations,74,5
Senior Honors Seminar,30,5
Human Factors,37,4
Topics in Choral Repertoire,58,6
Methodology Research Seminar,33,4
Intl Comparative Management,45,6
Grp Instr Pno for Mus Maj IV,35,5
River Basin Management,82,6
Classical Chinese Thought,71,6
The Psychology of Aging,35,4
Adv Companion Animal Nutrition,38,5
Mixing in Environmental Flows,51,5
Advanced Percussion,49,5
Abstract Algebra I,48,5
Adv Contemp Modern Tech Elect,67,6
Latinas/os &amp; the Law,47,5
Family Theories,69,6
Seminar Contemporary Problems,64,6
Molec &amp; Cellular Basis of Life,67,6
Educational Psychology,80,6
Doctoral Research Seminar,29,4
"Zen, Tea, and Power",57,4
Qualitative Methods,64,5
Practical Problems in Atg,41,6
Economic Systems in Africa,33,5
"The Craft Essay: Creative Reading, Reflection, and Revision",62,4
Introduction to Spanish Grammar,51,4
Beginning German II,37,4
Intermediate Wolof II,62,6
Steel Structures II,62,4
Doctoral Orchestral Conducting,33,5
Discrete Mathematics for CS Teachers,56,4
Personal Wealth Management,75,6
Broadway Musicals,37,5
Conversation and Writing I,33,5
Climate Change &amp; Civilization,40,6
Teaching Seminar,37,4
Dancing Techniques/Non-Majors:,47,4
Advanced Standard Arabic II,44,6
Innovations in Problem Based Learning,47,6
Experience in Interdisciplinary Health Research,34,4
Jazz Ensemble,48,5
Researching Global Education,81,6
Topics Stand Arabic LangLit II,61,5
Supp WW Inst: Clarinet,51,6
Special Problems in Urbanism,63,5
Freshman Materials Laboratory,38,6
20thC World from Midcentury,42,5
Doctoral Research Seminar and Colloquium,56,5
Advanced Inorganic Chem Lab,51,5
Observation and Program Analys,42,5
Introduction to Latin America,44,5
Democracy and Identity,48,4
Constructivism &amp; STEM Education,46,4
Early Literacy,59,5
Leadership in Early Childhood Special Education,73,5
Curriculum Development for the 21st Century,38,6
Medieval Literature and Culture,27,4
Vocal Coaching,71,6
Classical Mechanics II,48,5
Beginning Painting,60,4
Strategic Management,59,5
Advanced Swahili II,40,5
Beginning Ballet Tech Elect,61,5
Social Issues Group Dialogues,52,4
US History Since 1877-ACP,52,4
LLM Legal Writing and Research,31,5
Physical Chemistry II,71,6
Microbial Biochemistry,28,4
Lab Analysis in Archaeology,55,4
Collaborative Leadership,26,4
Introduction to Japanese Aesthetics,43,4
American Voices: Linguistic Diversity in the US,78,6
Advanced Research in Dance,49,5
Public Sector Economics,56,4
Water Quality Control Proc I,46,4
Food Service Sanitation,52,5
TESL in the Secondary School,48,5
Planning in Action,40,4
Concert Band,42,6
Process Design,47,4
Aquatic Sport Activities,55,4
Stochastic Processes,41,6
Engineering for Disaster Resilience,48,4
Planning History and Theory,38,6
Introd Art Mus: Intl Perspect,47,4
Intro to Abstract Algebra,60,4
Vocal Repertoire II,87,6
Fundamentals of Operations Management,41,5
Spanish in the Professions,39,5
Computer Systems &amp; Programming,44,6
Vector-borne Diseases,28,4
Principles of Safe Autonomy,69,6
Supp Brass Inst: Trumpet,31,4
International Trade Policy,46,6
URAP Research Apprenticeship,31,5
Social Work Case Management Practice,70,5
URAP Graduate Mentor Practicum,52,4
Intermediate Chinese II,54,4
Introduction to Robotics,59,5
Synthesis &amp; Summary - Phase 2,37,5
Finance Academy,31,4
Horn,38,4
Fields and Waves I,32,4
Advanced Agricultural Finance,59,4
Modern China,57,4
Prof Internship in Accountancy,71,6
Agr and Food Policies,72,6
French Phonetics,88,6
Communicating in Physics—Writing Papers and Giving Talks,59,4
Workplace Comm Technology,63,6
Research Internship,62,5
Introduction to Industrial Design,67,5
Designing for Human Well-being,27,4
Food Systems Reflection,46,5
Investments and Financial Markets,35,6
Intro to VLSI System Design,57,5
Undergraduate Open Seminar,31,5
Perf Pract February II,72,5
Topics for Honors Students,41,6
Formal Semantics II,42,5
Development of African Studies,89,6
Companion Animals in Society,52,5
From Idea to Enterprise,36,4
Solid Mechanics Design,49,5
BFA Production Seminar,49,6
Conversation and Writing II,78,6
"American People, Places, &amp; Environments",87,6
Fundamental Mathematics,30,5
Language Literacy in Early Childhood Education II,83,6
Astronomy Internship,32,5
Machine Learning for Accounting,62,4
Computer Systems Engineering,65,6
HR Training and Development,26,4
Graduate Level Organ,62,6
Tuba,44,5
Graduate Level Collaborative Piano,53,4
Statistical Analyses for Accountancy,32,4
Advanced Field Theory,37,5
Financial Derivatives,36,4
Computational Statistics,52,4
Introduction to Romance Linguistics,77,6
A History of Judaism,67,5
Pricing and Revenue Management,34,4
Elementary Latin II,35,6
Critical Issues Recreation Mgt,38,6
School Access &amp; Supports,38,4
Capstone,51,5
Computers and Culture,31,5
Colloquial Arabic II,78,6
Intl SW &amp; Development,59,4
Seminar in Baroque Art,69,6
Science &amp; Environmental Policy,56,4
Colloquium in Acting: Movement,65,5
Intro to Comp Politics,29,4
Special Topics in Organ,45,4
Mental Health,65,5
Social Entre &amp; Social Change,50,6
Leadership Ethics &amp; Society: Addressing Contemporary Challenges,34,4
Crop Growth and Management,46,4
Individual Readings,82,6
Sport &amp; Modern Society,31,5
Indiv Topics Neuroscience,28,4
Intermediate Persian I,62,4
Management Seminar,42,5
Identity and Difference in Education,53,6
Sci Basis of Phys Performance,71,5
Introduction to Health Technology,81,6
Digital Systems Laboratory,63,6
Assessment and Evaluation in Music Education,45,4
Sens Prosth Devices Hear Loss,41,5
Research Design and Techniques,62,6
The Ancient Maya,35,5
Statistics,34,5
Popular Culture,56,5
Auditing &amp; Assurance Standards,30,5
Instrumental Characterization,51,4
Engineering Graphics &amp; Design,50,4
Sea Power and Maritime Affairs,54,5
Introduction to Sociological Theory,52,5
Lectures in Engineering Entrepreneurship,68,5
Finite Mathematics,44,5
Business Analytics I,76,6
Internship in Design,49,6
Reference and Information Services,54,5
Issues in Art Education,43,6
Ethnomusicology Performance Ensembles,45,5
Systems Engrg &amp; Economics,74,6
Images of the Other,81,6
